Skill,Missing_Count,Missing_Percentage
paychex,2469,99.4
phr,2465,99.2
employment law,2462,99.1
talent acquisition,2456,98.9
shrm,2451,98.7
kronos,2444,98.4
ada,2443,98.3
fmla,2436,98.1
workers compensation,2431,97.9
dental,2428,97.7
hris,2417,97.3
onboarding,2416,97.3
adp,2397,96.5
performance management,2386,96.1
employee relations,2357,94.9
conflict resolution,2317,93.3
compensation,2312,93.1
orientation,2291,92.2
recruitment,2272,91.5
benefits,2170,87.4
payroll,2043,82.2
powerpoint,1987,80.0
microsoft office,1798,72.4
word,1728,69.6
compliance,1712,68.9
excel,1524,61.4
